Attack Step,Mitigation,Type,Description,TTC Reference
Confidential data identification,Data sanitization and scrubbing,Preventative,Implement comprehensive data cleaning with PII scrubbing and anonymization before training,
Training data inclusion,Differential privacy techniques,Preventative,Use differential privacy to train models while protecting individual data privacy through controlled noise,
Model training execution,Restrict data usage through contracts,Preventative,Work with legal teams to enforce contracts that restrict data usage and align with regulations,
Data memorization,Statistical disclosure controls,Preventative,Use techniques like statistical outlier detection to prevent sensitive information release,
Model inversion preparation,Audit anonymization controls,Detective,Regularly audit anonymization controls using Amazon Comprehend and Macie for PII detection,
Attack vector development,Legal safeguards on data usage,Preventative,Contact legal team to draft and enforce contracts restricting data usage per regulations,
Inference-time exploitation,Enable content moderation,Preventative,Use Amazon Bedrock Guardrails for PII redaction and responsible AI policy enforcement,
Data source infiltration,Data access controls,Preventative,Implement encryption role-based access control and user monitoring for training data access,
Sensitive data collection,Data sanitization and scrubbing,Preventative,Scrub personally identifiable information and follow privacy regulations like GDPR,
Overfitting induction,Evaluate models for overfitting,Preventative,Use Amazon SageMaker's distributed training capabilities to prevent overfitting on sparse data,
Memory amplification,Constraints on influence of sparse samples,Preventative,Implement minimum thresholds on sample size and constraints on sparse sample influence,
Output extraction,Enable content moderation,Preventative,Apply Amazon Bedrock Guardrails for content filtering and PII redaction in model outputs,
Unfiltered model responses,Audit anonymization controls,Detective,Conduct regular audits using AWS native tools to identify insufficiently anonymized data,
